Gene	HGNC_Id	Entrez_Gene_Id	Condition	Inheritance	Age_Group	Allelic_Conditions	Manifestation_Categories	Intervention_Categories	Comments	Intervention_Rationale	Refs
MFRP	18121	83552	Microphthalmia, isolated 5; Nanophthalmos 2; Retinitis pigmentosa, autosomal recessive	AR	N/A	N/A	Ophthalmologic	General	Individuals are at risk for ophthalmologic features such as retinal detachment	Genetic knowledge may be beneficial related to issues such as selection of optimal supportive care, informed medical decision-making, prognostic considerations, and avoidance of unnecessary testing	1258954; 15976030; 17167404; 18554571; 19526372; 20361016; 21810984; 22565643; 22605927; 23112574 
MFSD8	28486	256471	Ceroid lipofuscinosis, neuronal, 7	AR	N/A	N/A	Biochemical; Neurologic; Ophthalmologic	General		Genetic knowledge may be beneficial related to issues such as selection of optimal supportive care, informed medical decision-making, prognostic considerations, and avoidance of unnecessary testing	15074367; 15965709; 17564970; 19277732,; 19201763; 18850119; 22612257 
MGAT2	7045	4247	Congenital disorder of glycosylation, type IIa	AR	Pediatric		Audiologic/Otolaryngologic; Biochemical; Craniofacial; Gastrointestinal; Hematologic; Musculoskeletal; Neurologic	Hematologic	Hepatic-metabolized agents should be avoided	Awareness of coagulopathies may be beneficial in terms of medical management, especially in situations such as surgery	7944531; 8808595; 11228641; 19419693; 20684000; 22105986; 23023920
MGME1	16205	92667	Mitochondrial DNA depletion syndrome 11	AR	Pediatric		Biochemical; Cardiovascular; Endocrine; Gastrointestinal; Musculoskeletal; Neurologic	Cardiovascular		In addition to other manifestations, the condition has been described as including cardiovascular sequelae (eg, dilated cardiomyopathy, arrhythymias), and awareness may allow appropriate surveillance and prompt management	23313956
MGP	7060	4256	Keutel syndrome	AR	N/A	N/A	Cardiovascular; Craniofacial; Dermatologic; Musculoskeletal; Neurologic	General		Genetic knowledge may be beneficial related to issues such as selection of optimal supportive care, informed medical decision-making, prognostic considerations, and avoidance of unnecessary testing	6468443; 3717211; 2515061; 9674914; 9916809; 15810001
MIB1	21086	57534	Left ventricular noncompaction 7	AD	Pediatric		Cardiovascular	Cardiovascular		Left ventricular noncompaction may manifest as depressed systolic function, with potential complications including arrhythmias, systemic embolism, heart failure and sudden death, and surveillance (eg, with echocardiogram and electrocardiogram) may allow early diagnosis and treatment	23314057
MID1	7095	4281	Opitz GBBB syndrome	XL	N/A	N/A	Cardiovascular; Craniofacial; Gastrointestinal; Genitourinary; Neurologic	General	The condition can involve multiple congenital anomalies	Genetic knowledge may be beneficial related to issues such as selection of optimal supportive care, informed medical decision-making, prognostic considerations, and avoidance of unnecessary testing	9354791; 11030761; 12833403; 15121778; 15558842; 16619207; 20301502; 20671548; 22407675 
MIP	7103	4284	Cataract 15, multiple types	AD	N/A	N/A	Ophthalmologic	General		Genetic knowledge may be beneficial related to issues such as selection of optimal supportive care, informed medical decision-making, prognostic considerations, and avoidance of unnecessary testing	10802646
MIR17HG	23564	407975	Feingold syndrome 2	AD	N/A	N/A	Musculoskeletal; Neurologic	General	The condition can involve multiple congenital anomalies	Genetic knowledge may be beneficial related to issues such as selection of optimal supportive care, informed medical decision-making, prognostic considerations, and avoidance of unnecessary testing	21892160
MIR184	31555	406960	Keratoconus with cataract	AD	N/A	N/A	Ophthalmologic	General		Genetic knowledge may be beneficial related to issues such as selection of optimal supportive care, informed medical decision-making, prognostic considerations, and avoidance of unnecessary testing	14638698; 16735990; 21996275; 22131394
MIR96	31648	407053	Deafness, autosomal dominant 50	AD	Pediatric		Audiologic/Otolaryngologic	Audiologic/Otolaryngologic	Hearing loss was progressive, and was described in the earliest reported affected at 12 years in one family, while it occurred as early as 2-3 years of age in another family	Early recognition and treatment of hearing impairment may improve outcomes, including speech and language development	14757864; 19363479
MITF	7105	4286	Waardenburg syndrome, type 2A; Tietz albinism-deafness syndrome	AD	Pediatric	Variants may be associated with Melanoma, cutaneous malignant, susceptibility to, 8 (AD); Renal cell carcinoma with or without malignant melanoma (AD) (The OR of melanoma and/or RCC has been reported as >14 in one study) (AD)	Audiologic/Otolaryngologic; Dermatologic; Ophthalmologic	Audiologic/Otolaryngologic	Waardenburg syndrome be clinically recognizable in some individuals; Digenic inheritance (with TYR) has been reported	Early recognition and treatment of hearing impairment may improve outcomes, including speech and language development	13985019; 5006208; 331943; 666627; 7951321; 7874167; 7702105; 7573125; 8589691; 9158138; 10851256; 18510545; 20024939; 22012259; 22080950 
MKKS	7108	8195	McKusick-Kaufman syndrome; Bardet-Biedl syndrome 6	AR 	N/A	N/A	Cardiovascular; Endocrine; Gastrointestinal; Genitourinary; Musculoskeletal; Neurologic; Ophthalmologic; Renal	General	The conditions frequently involve multiple congenital anomalies and multisystemic manifestations	Genetic knowledge may be beneficial related to issues such as selection of optimal supportive care, informed medical decision-making, prognostic considerations, and avoidance of unnecessary testing; Variants may modify severity of BBS and related disorders due to mutations in other BBS-associated genes	14172277; 5694533; 5545396; 7262101; 7246610; 2681663; 2564737; 8209897; 10465109; 10973251; 11102925; 10802661; 11567139; 12837689; 15637713; 16104012; 20301537; 20301675;
MKRN3	7114	7681	Central precocious puberty	AD	N/A	N/A	Endocrine	General	In Precocious puberty, treatment with gonadotropin-releasing hormone receptor analogs/LHRH agonists can be beneficial	Genetic knowledge may be beneficial related to issues such as selection of optimal supportive care, informed medical decision-making, prognostic considerations, and avoidance of unnecessary testing; Variants may modify severity of BBS and related disorders due to mutations in other BBS-associated genes	23738509
MKS1	7121	54903	Meckel syndrome, type 1; Bardet-Biedl syndrome 13	AR 	N/A	N/A	Cardiovascular; Craniofacial; Endocrine; Gastrointestinal; Genitourinary; Neurologic; Musculoskeletal; Ophthalmologic; Renal	General	The conditions frequently involve multiple congenital anomalies and multisystemic manifestations	Genetic knowledge may be beneficial related to issues such as selection of optimal supportive care, informed medical decision-making, prognostic considerations, and avoidance of unnecessary testing; Variants may modify severity of BBS and related disorders due to mutations in other BBS-associated genes	6486167; 16415886; 17377820; 17935508; 18327255; 19515853; 20301537
MLC1	17082	23209	Megalencephalic leukoencephalopathy with subcortical cysts	AR	N/A	N/A	Neurologic	General		Genetic knowledge may be beneficial related to issues such as selection of optimal supportive care, informed medical decision-making, prognostic considerations, and avoidance of unnecessary testing	11254442; 12939431; 18757878; 20301707; 20560255; 21145992; 21160490; 21487377; 22416245; 22552818 
MLH1	7127	4292	Colorectal cancer, hereditary nonpolyposis, type 2; Mismatch repair cancer syndrome; Endometrial cancer; Muir-Torre syndrome	AD/AR	Adult (Colorectal cancer, hereditary nonpolyposis, type 2; Endometrial cancer; Muir-Torre syndrome)/Pediatric (Mismatch repair cancer syndrome)		Dermatologic; Oncologic	Oncologic	Individuals can have a number of malignancies in addition to colon cancer; Variants may also contribute to cancer susceptibility in the general population	In HNPCC, or surveillance, colonoscopy with polyp removal is indicated starting at (whichever is earlier) age 20-25 years or 10 years prior to the earliest familial diagnosis; Prophylactic Hysterectomy with bilateral oophorectomy may be considered after childbearing is completed; For individuals with colon cancer, surgical treatment with full colectomy (and ileorectal anastomosis) is recommended; Cigarette smoking should be avoided; For other tumor types, awareness of cancer risk may allow early diagnosis and treatment, which may reduce morbidity and mortality; Individuals with Mismatch repair cancer syndrome are at risk of multiple types of malignancy, and awareness may allow early detection and management	6020987; 5684233; 4063166; 7815421; 8128251; 8145827; 7661930; 8751876; 9634524; 9927033; 10072435; 10577927; 15264268; 15077197; 16042583; 15520370; 15662714; 15235030; 17440981; 18457354; 19156169; 20301390 
MLH3	7128	27030	Colorectal cancer, hereditary nonpolyposis type 7; Endometrial carcinoma	AD	Adult		Oncologic	Oncologic	The clinical significance of mutations in this gene is unclear	Surveillance to allow early detection and treatment of tumors (associated with colorectal cancer) may be beneficial to reduce morbidity and mortality	12702580; 16885347
MLPH	29643	79083	Griscelli syndrome, type 3	AR	N/A	N/A	Dermatologic	General		Genetic knowledge may be beneficial related to issues such as selection of optimal supportive care, informed medical decision-making, prognostic considerations, and avoidance of unnecessary testing	12148598; 12897212
MLYCD	7150	23417	Malonyl-CoA decarboxylase deficiency	AR	Pediatric		Biochemical; Cardiovascular; Neurologic	Biochemical; Cardiovascular		Dietary measures (low-fat, high-carbohydrate diet, with one report describing benefit from long-chain triglyceride restriction and medium-chain triglyceride supplementation) can normalize urinary organic acid excretion and prevent hypoglycemic episodes; During infectious/febrile illnesses, inpatient care to reduce morbidity and mortalitiy may be beneficial; Surveillance for cardiac manifestations may allow early management, which may be beneficial	6145813; 3709568; 8259873; 10417274; 9869665; 10455107; 12955715; 16275149; 20549361; 22104738; 22778304 
MMAA	18871	166785	Methylmalonic acidemia, cblA type	AR	Pediatric		Biochemical; Hematologic; Neurologic; Ophthalmologic	Biochemical		Long-term dietary (high-calorie diet low in propiogenic amino acid precursors with carnitine supplementation) and medical management (eg, IM hydroxocobalamin, antibiotics to decrease propionate production) is indicated; Fasting and high-protein consumption should be avoided; In the emergent setting, prompt recognition and appropriate metabolic care may be beneficial to decrease morbidity and mortality; Antioxidants for optic nerve atrophy may be beneficial; Liver/kidney transplant has been described in methylmalonic acidemia	6132336; 12438653; 20301409; 21545677; 23026888
MMAB	19331	326625	Methylmalonic acidemia, cblB type	AR	Pediatric		Biochemical; Hematologic; Neurologic; Ophthalmologic	Biochemical		Long-term dietary (high-calorie diet low in propiogenic amino acid precursors with carnitine supplementation) and medical management (eg, IM hydroxocobalamin, antibiotics to decrease propionate production) is indicated; Fasting and high-protein consumption should be avoided; In the emergent setting, prompt recognition and appropriate metabolic care may be beneficial to decrease morbidity and mortality; Antioxidants for optic nerve atrophy may be beneficial; Liver/kidney transplant has been described in methylmalonic acidemia	7213387; 12471062; 16410054; 20301409; 20301503; 20556797; 21416195
MMACHC	24525	25974	Methylmalonic aciduria and homocystinuria, cblC type	AR	Pediatric		Biochemical; Cardiovascular; Dermatologic; Hematologic; Neurologic; Ophthalmologic; Renal	Biochemical		While no treatment is completely effective, specific dietary (eg, high-calorie, low protein diet and avoidance of fasting, with measures taken to avoid/treat decompensation)  and other medical measures (eg, cofactor therapy) may be beneficial to treat and prevent sequelae in the acute and chronic states	5779140; 6749192; 3257264; 2368803; 9266389; 11258350; 10399092; 11320193; 12210350; 16311595; 16714133; 17431913; 17853453; 20301503; 19370762; 20631720; 21748409; 21835369
